title,snippet,type,context
     Overige regelgeving      Administratieve procedures     Afmelden met datacommunicatie-apparatuur (#None),[],reg,administratieve-procedures-overige-regelgeving-afmelden-met-datacommunicatie-apparatuur.txt
     Overige regelgeving      Administratieve procedures     Afmelden met datacommunicatie-apparatuur (#None),[],moi,administratieve-procedures-overige-regelgeving-afmelden-met-datacommunicatie-apparatuur.txt
     Overige regelgeving      Administratieve procedures     Afmelden met datacommunicatie-apparatuur (#None),[],reg,administratieve-procedures-overige-regelgeving-afmelden-met-datacommunicatie-apparatuur.txt
     Overige regelgeving      Administratieve procedures     Afmelden met datacommunicatie-apparatuur (#None),[],moi,administratieve-procedures-overige-regelgeving-afmelden-met-datacommunicatie-apparatuur.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),"['\r\n          ', 'Vóór de beoordeling van de keuringseisen controleert u of de gegevens van het voertuig op basis van de Regeling voertuigen artikel 5.*.1 en artikel 2 van de Aanvullende permanente eisen overeenkomen met de gegevens die in het kentekenregister staan.', '\n', 'Om het kentekenregister te controleren, gaat u naar het scherm ‘Raadplegen Voertuiggegevens’  zoals is uitgelegd in de ‘Gebruikshandleiding Raadplegen Voertuiggegevens’ van de provider. De gegevens van het voertuig ziet u dan op het raadpleegscherm.', '\n', 'In het raadpleegscherm staan extra gegevens. Dit zijn de resultaten van de laatste APK melding en een aantal van de meest voorkomende, gemelde reparatie- of afkeurpunten. Deze informatie is bedoeld als achtergrondinformatie, voordat u met de APK begint.', '\n', 'Bij modulaire aanhangwagens of voertuigen die een kenteken hebben met de lettergroep ZZ of ZZZ en een combinatie van 1 of meer letters of cijfers, AA, CD, CDJ of de lettergroep BN of GN en 2 groepen van 2 cijfers, gebruikt u voor het raadplegen het kentekenbewijs deel I/IA of de kentekencard. Dit doet u omdat er geen of weinig gegevens in het kentekenregister staan.', '\n', 'Afwijkingen raadplegen kentekenregister', '\n', 'Ontbreken (leeg veld) op het scherm 1 of meer gegevens die nodig zijn voor de keuring? Neem dan contact op met het Technisch Kenniscentrum. Het telefoonnummer is 088 008 74 77. Onze medewerker vertelt of u het voertuig mag keuren of niet. Geeft de medewerker aan dat u het voertuig mag keuren? Dan krijgt u een bevestiging met de ontbrekende gegevens.', '\n', 'Geeft het raadpleegscherm 1 van de volgende meldingen?', '\n', '\n    ', 'kenteken onbekend;', '\n    ', 'geen actueel voertuig.', '\n', '\n', 'Neem dan contact op met het Technisch Kenniscentrum voor verdere uitleg. Het telefoonnummer is 088 008 74 77.', '\n', 'Geeft het raadpleegscherm de melding: ‘keuren niet toegestaan, keuring door RDW’ dan mag u het voertuig niet keuren. De eigenaar/houder moet een afspraak bij ons maken voor een keuring.  Hiervoor kan de eigenaar contact opnemen met het Technisch Kenniscentrum. Het telefoonnummer is 088 008 74 47.', '\n', 'U mag een voertuig niet keuren en dus ook geen keuringsrapport geven als de volgende punten  verschillen of niet in het kentekenregister staan:', '\n', '\n    ', 'het kenteken;', '\n    ', 'het identificatienummer;', '\n    ', 'de datum eerste toelating.', '\n', '\n', 'U mag een voertuig niet keuren als het niet mogelijk is de voertuiggegevens te raadplegen.  Bijvoorbeeld als gevolg van een storing.', '\n', 'Voertuigidentificatienummer (VIN)', '\n', 'Voordat u een voertuig APK keurt, moet u het ingeslagen VIN controleren. U mag het voertuig niet keuren als het ingeslagen VIN van het voertuig ontbreekt, niet leesbaar is of niet overeenkomt met het kentekenregister. Dit staat in de Regeling erkenning keuringsbevoegdheid APK, artikel 27 (lid 4). Ontbreekt het ingeslagen VIN of is het niet leesbaar? Laat dan de eigenaar van het voertuig contact met ons opnemen. U mag geen APK-rapport afgeven. ', '\n', '\n', '\r\n        ', '\r\n                          ', 'Artikel 2', '\r\n', 'De volgende gegevens, voor zover in het kentekenregister vermeld, moeten in overeenstemming zijn met het voertuig:', 'kenteken.', 'voertuigidentificatienummer.', 'brandstof dan wel brandstoffen, waarbij:', '‘A’ staat voor alcohol; ', '‘B’ staat voor benzine;', ""'C’ staat voor LNG;"", '‘D’ staat voor diesel;', '‘E’ staat voor elektriciteit;', ""‘E/B’, ‘E/D’, ‘E/G’ of een andere combinatie waarin een 'E' voorkomt, staat voor hybride;"", '‘G’ staat voor LPG;', '‘H’ staat voor CNG;', '‘W’ staat voor waterstof.', ' ', 'Een combinatie van brandstoffen wordt aangeduid met meerdere letters.', ""Indien in het kentekenregister de brandstofcode 'C', ‘G’ of ‘H’ niet is vermeld, mogen de volgende onderdelen van een LNG-, LPG- of CNG-installatie niet zijn gemonteerd: "", 'verdamper, drukregelaar of ander brandstofdoseringssysteem. Een uitlaatstift, die bij een luchtgekoelde motor als verdamper fungeert, hoeft niet te worden verwijderd;', 'LNG-, LPG-, of CNG tank;', 'gasafsluiter;', 'gasmengstuk;', 'inspuitstukken, tenzij deze definitief zijn afgeplugd;', 'inspuitstukadapter, tenzij deze definitief is afgeplugd;', 'buitenvulklep, tenzij deze definitief is afgeplugd;', 'hogedrukleiding, met uitzondering van het gedeelte, dat rechtstreeks vast tegen de onderzijde van het voertuig is bevestigd.', 'wielbasis.', 'Bij personenauto’s, bedrijfsauto’s en bussen met een toegestane maximummassa van niet meer dan 3.500 kg, de wielbasis waarbij deze niet meer dan 2,0 % mag afwijken van de waarde die in het kentekenregister is vermeld. Bij twijfel wordt de wielbasis gemeten.\xa0Indien de wielbasis van fabriekswege links en rechts verschilt, wordt de gemiddelde waarde als wielbasis aangemerkt;', 'aanwezigheid van een koppeling.', 'Indien het een bedrijfsauto of een bus betreft met een toegestane maximummassa van meer dan 3.500 kg en in het kentekenregister geen waarde voor de afstandsmaat van de voorzijde van het voertuig tot het hart van de koppeling is vermeld, mag geen koppeling op de bedrijfsauto of bus zijn gemonteerd. Dit geldt niet indien het een brandweerauto betreft waarvoor blijkens het kentekenregister een kentekenbewijs is afgegeven vóór 12 december 1983;', 'aanwezigheid van meerdere koppelingen.', 'Indien op de bedrijfsauto of bus met een toegestane maximummassa van meer dan 3.500 kg meerdere koppelingen zijn gemonteerd, moet van elke koppeling de waarde voor de afstand van de voorzijde van het voertuig tot het hart van de koppeling in het kentekenregister zijn vermeld. Dit geldt niet indien het een vangmuilkoppeling ten behoeve van een besturing betreft;', 'aantal cilinders.', 'Bij personenauto’s, bedrijfsauto’s en bussen met een toegestane maximummassa van niet meer dan 3.500 kg, wordt het aantal cilinders bij twijfel gecontroleerd. De controle op het aantal cilinders blijft achterwege als het een wankelmotor betreft.', '                    ']",reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),"['\r\n                          ', 'Artikel 2', '\r\n', 'De volgende gegevens, voor zover in het kentekenregister vermeld, moeten in overeenstemming zijn met het voertuig:', 'kenteken.', 'voertuigidentificatienummer.', 'brandstof dan wel brandstoffen, waarbij:', '‘A’ staat voor alcohol; ', '‘B’ staat voor benzine;', ""'C’ staat voor LNG;"", '‘D’ staat voor diesel;', '‘E’ staat voor elektriciteit;', ""‘E/B’, ‘E/D’, ‘E/G’ of een andere combinatie waarin een 'E' voorkomt, staat voor hybride;"", '‘G’ staat voor LPG;', '‘H’ staat voor CNG;', '‘W’ staat voor waterstof.', ' ', 'Een combinatie van brandstoffen wordt aangeduid met meerdere letters.', ""Indien in het kentekenregister de brandstofcode 'C', ‘G’ of ‘H’ niet is vermeld, mogen de volgende onderdelen van een LNG-, LPG- of CNG-installatie niet zijn gemonteerd: "", 'verdamper, drukregelaar of ander brandstofdoseringssysteem. Een uitlaatstift, die bij een luchtgekoelde motor als verdamper fungeert, hoeft niet te worden verwijderd;', 'LNG-, LPG-, of CNG tank;', 'gasafsluiter;', 'gasmengstuk;', 'inspuitstukken, tenzij deze definitief zijn afgeplugd;', 'inspuitstukadapter, tenzij deze definitief is afgeplugd;', 'buitenvulklep, tenzij deze definitief is afgeplugd;', 'hogedrukleiding, met uitzondering van het gedeelte, dat rechtstreeks vast tegen de onderzijde van het voertuig is bevestigd.', 'wielbasis.', 'Bij personenauto’s, bedrijfsauto’s en bussen met een toegestane maximummassa van niet meer dan 3.500 kg, de wielbasis waarbij deze niet meer dan 2,0 % mag afwijken van de waarde die in het kentekenregister is vermeld. Bij twijfel wordt de wielbasis gemeten.\xa0Indien de wielbasis van fabriekswege links en rechts verschilt, wordt de gemiddelde waarde als wielbasis aangemerkt;', 'aanwezigheid van een koppeling.', 'Indien het een bedrijfsauto of een bus betreft met een toegestane maximummassa van meer dan 3.500 kg en in het kentekenregister geen waarde voor de afstandsmaat van de voorzijde van het voertuig tot het hart van de koppeling is vermeld, mag geen koppeling op de bedrijfsauto of bus zijn gemonteerd. Dit geldt niet indien het een brandweerauto betreft waarvoor blijkens het kentekenregister een kentekenbewijs is afgegeven vóór 12 december 1983;', 'aanwezigheid van meerdere koppelingen.', 'Indien op de bedrijfsauto of bus met een toegestane maximummassa van meer dan 3.500 kg meerdere koppelingen zijn gemonteerd, moet van elke koppeling de waarde voor de afstand van de voorzijde van het voertuig tot het hart van de koppeling in het kentekenregister zijn vermeld. Dit geldt niet indien het een vangmuilkoppeling ten behoeve van een besturing betreft;', 'aantal cilinders.', 'Bij personenauto’s, bedrijfsauto’s en bussen met een toegestane maximummassa van niet meer dan 3.500 kg, wordt het aantal cilinders bij twijfel gecontroleerd. De controle op het aantal cilinders blijft achterwege als het een wankelmotor betreft.', '                    ']",moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],reg,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Raadplegen kentekenregister (#None),[],moi,administratieve-procedures-overige-regelgeving-raadplegen-kentekenregister.txt
     Overige regelgeving      Administratieve procedures     Algemeen (#None),"['\r\n          ', 'Hier vindt u informatie die voor de APK-keurmeester belangrijk is bij het uitvoeren van algemene periodieke keuringen (APK). Geven de ‘Administratieve procedures’ geen duidelijkheid? De gepubliceerde regelgeving is dan doorslaggevend.', '\n', 'Bij vragen over de uitvoering van de APK neemt u contact op met het Technisch Kenniscentrum. Het telefoonnummer is 088 008 74 77.', '\n', '\r\n        ']",reg,algemeen-administratieve-procedures-overige-regelgeving.txt
     Overige regelgeving      Administratieve procedures     Algemeen (#None),[],moi,algemeen-administratieve-procedures-overige-regelgeving.txt
     Overige regelgeving      Algemeen     Adressen RDW (#None),"['\r\n          ', '\n', 'Hoofdkantoor', '\nEuropaweg 205', '\n2711 ER Zoetermeer', '\n', 'Postbus 777 ', '\n2700 AT Zoetermeer', '\nTel. 088 008 74 77\xa0', '\n', 'www.rdw.nl', '\n', '\n', '\n', 'Divisie Registratie en Informatie', '\nSkagerrak 10', '\n9642 CZ Veendam', '\n', 'Postbus 30000', '\n9640 RA Veendam', '\nTel. 088 008 74 77\xa0', '\n', 'www.rdw.nl', '\n', '\n', '\n', 'ACN Zwolle', '\nDr. van Deenweg 78', '\n8025 BH Zwolle', '\nTel. 088 008 74 77\xa0', '\n', '\xa0', '\n', 'APK Webdirect', '\nPostbus 777', '\n2711 ER Zoetermeer', '\nTel. 088 008 74 77\xa0', '\n', 'www.rdw.nl', '\n', '\n', ' ', '\n', 'Voor een herkeuring, klacht(en) en vragen over de erkenning neemt u contact op met ACN Zwolle. Het\xa0telefoonnummer is 088 008 74 77. Voor algemene informatie en vragen over de uitvoering van de APK neemt u contact op met onze\xa0Klantenservice /Technisch Kenniscentrum. Het telefoonnummer is 088 008 74 77 of per mail via het contactformulier op ', 'www.rdw.nl', ' (ga naar contact).', '\n', '\n', '\n', '\r\n        ']",reg,algemeen-overige-regelgeving-adressen-rdw.txt
     Overige regelgeving      Algemeen     Adressen RDW (#None),[],moi,algemeen-overige-regelgeving-adressen-rdw.txt
     Overige regelgeving      Algemeen     Adressen providers (#None),"['\r\n          ', 'A2SP', 'Savannahweg 8', '3542 AW Utrecht', 'Tel. 0900 123 22 77', '\r\n    ', '\r\n', 'www.a2sp.nl', ' ', '\r\n    ', '\r\n', '[email\xa0protected]', 'RDC InMotiv', 'Postbus 74707', '1070 BS Amsterdam', 'Tel.020 644 55 53', '\r\n    ', '\r\n', 'www.rdc.nl', '\r\n    ', '\r\n', '[email\xa0protected]', 'VWE bureau voor voertuigdocumentatie en informatie', 'Postbus 198', '1700 AD Heerhugowaard', 'Tel. 088 893 70 01', '\r\n    ', '\r\n', 'www.vwe.nl', ' ', '\r\n    ', '\r\n', '[email\xa0protected]', '\r\n        ']",reg,algemeen-adressen-providers-overige-regelgeving.txt
     Overige regelgeving      Algemeen     Adressen providers (#None),[],moi,algemeen-adressen-providers-overige-regelgeving.txt
